CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_SCHEMA,TABLE_NAME,COLUMNS,CARDINARITY,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMNS,REFERENCED_CARDINARITY,CAPTION
実行権限,,,,ユーザ認証テーブル,利用者名,0-*,,ユーザ＿会員変換テーブル,認証用利用者名,,
実行権限,,,,サービス管理者グループメンバー管理テーブル,識別子,0-1,,会員管理テーブル,識別子,,
実行権限,,,,会員管理テーブル,識別子,0-1,,システム管理者グループメンバー管理テーブル,会員ID,0-*,
実行権限,,,,管理者グループ管理テーブル,識別子,0-1,,管理者グループメンバー管理テーブル,管理者グループ識別子,0-*,
実行権限,,,,管理者グループメンバー管理テーブル,会員ID,0-*,,会員管理テーブル,識別子,0-*,
実行権限,,,,手続き目録管理テーブル,コントローラクラス識別子,0-1,,コントローラ管理テーブル,識別子,0-1,
実行権限,,,,実行権限設定テーブル,利用対象ID,0-1,,手続きグループ管理テーブル,識別子,0-1,
実行権限,,,,実行権限設定テーブル,利用対象ID,0-1,,手続き目録管理テーブル,識別子,0-1,
実行権限,,,,実行権限設定テーブル,利用対象ID,0-1,,手続き管理テーブル,識別子,0-1,
実行権限,,,,実行権限設定テーブル,利用者ID,0-1,,会員グループ管理テーブル,識別子,0-1,
実行権限,,,,実行権限設定テーブル,利用者ID,0-1,,会員目録管理テーブル,識別子,0-1,
実行権限,,,,実行権限設定テーブル,利用者ID,0-1,,会員管理テーブル,識別子,0-1,
実行権限,,,,実行権限テーブル,会員識別子,0-1,,会員管理テーブル,識別子,0-1,
実行権限,,,,実行権限テーブル,手続き識別子,0-1,,手続き管理テーブル,識別子,0-1,
実行権限,,,,手続き管理テーブル,識別子,0-1,,手続きグループメンバー管理テーブル,メンバーID,0-1,
実行権限,,,,手続き目録管理テーブル,識別子,0-1,,手続きグループメンバー管理テーブル,メンバーID,0-1,
実行権限,,,,手続き目録管理テーブル,親目録識別子,0-*,,手続き目録管理テーブル,識別子,0-1,
実行権限,,,,手続きグループメンバー管理テーブル,手続きグループ識別子,0-*,,手続きグループ管理テーブル,識別子,0-1,
実行権限,,,,手続き目録管理テーブル,親目録識別子,0-*,,手続き管理テーブル,識別子,0-*,
実行権限,,,,会員目録管理テーブル,識別子,0-*,,会員グループメンバー管理テーブル,メンバーID,0-*,
実行権限,,,,会員管理テーブル,識別子,0-*,,会員グループメンバー管理テーブル,メンバーID,0-*,
実行権限,,,,会員グループ管理テーブル,識別子,0-*,,会員グループメンバー管理テーブル,会員グループ識別子,0-*,
実行権限,,,,会員目録管理テーブル,親目録識別子,0-*,,会員目録管理テーブル,識別子,0-1,
実行権限,,,,会員管理テーブル,目録識別子,0-*,,会員目録管理テーブル,識別子,0-1,
実行権限,,,,ユーザ＿会員変換テーブル,会員識別トークン,0-*,,会員管理テーブル,識別トークン,0-1,
