TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,INDEX_NAME,COLUMNS,IS_PRIMARY_KEY,UNIQUE,CREATE_OPTION
実行権限,,コントローラ管理テーブル,idx_URLパス,URLパス,,YES,
実行権限,,コントローラ管理テーブル,idx_DIコンポーネント名,DIコンポーネント名 ,,Constraint,
実行権限,,サービス管理者グループメンバー管理テーブル,idx_メンバー,会員ID,,YES,
実行権限,,システム管理者グループメンバー管理テーブル,idx_メンバー,会員ID,,YES,
実行権限,,ユーザ認証テーブル,idx_利用者名,利用者名 ,,YES,
実行権限,,ユーザ＿会員変換テーブル,idx_ユーザ,"システム種別,ユーザID",,YES,
実行権限,,会員グループメンバー管理テーブル,idx_メンバー,"会員グループ識別子 ,メンバー種別 ,メンバーID ",,YES,
実行権限,,会員管理テーブル,idx_トークン,識別トークン ,,YES,
実行権限,,会員管理テーブル,idx_名称,名称 ,,YES,
実行権限,,実行権限設定テーブル,idx_利用者利用対象,"利用者種別 ,利用者ID ,利用対象種別 ,利用対象ID ",,YES,
実行権限,,手続きグループメンバー管理テーブル,idx_メンバー,"手続きグループ識別子 ,メンバー種別 ,メンバーID ",,YES,
実行権限,,手続き管理テーブル,idx_手続き識別データ,"目録識別子,手続きコード,手続き補助コード,手続き補助コード2",,YES,
実行権限,,管理者グループメンバー管理テーブル,idx_メンバー,"管理者グループ識別子,会員ID",,YES,
